Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Index-member;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing
Crealogix Holding AG;CLXN;1111570;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;8.00;Swiss Reporting Standard;Swiss GAAP FER;29.10.18;30.06.;PricewaterhouseCoopers AG - CH[500003];No;;true
Credit Suisse Group AG;CSGN;1213853;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.04;International Reporting Standard;US GAAP;27.04.18;31.12.;KPMG AG - CH[501403];No;;true
Danone;DAN;487663;FR;CHF;XSWX;;BS;0.25;International Reporting Standard;;;;PricewaterhouseCoopers Audit - FR;No;;false
Datacolor AG;DCN;853104;CH;CHF;XSWX;;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;05.12.18;30.09.;KPMG AG - CH[501403];No;;true
Dätwyler Holding AG;DAE;3048677;CH;CHF;XSWX;SPI,SMCI,SPIEX;BS;0.05;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);true
DKSH Holding AG;DKSH;12667353;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.10;International Reporting Standard;IFRS;22.03.18;31.12.;Ernst & Young AG - CH[500646];No;;true
dormakaba Holding AG;DOKA;1179595;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;23.10.18;30.06.;PricewaterhouseCoopers AG - CH[500003];No;;true
Dottikon ES Holding AG;DESN;2073900;CH;CHF;XSWX;;RS;0.10;International Reporting Standard;IFRS;06.07.18;31.03.;KPMG AG - CH[501403];No;;true
Dufry AG;DUFN;2340545;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI;RS;5.00;International Reporting Standard;IFRS;03.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Eastern Property Holdings Limited;EPH;1673866;VG;USD;XSWX;;RS;0.00;Real Estate Companies;IFRS;12.06.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Edisun Power Europe AG;ESUN;2473640;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;30.00;Swiss Reporting Standard;Swiss GAAP FER;18.05.18;31.12.;BDO AG - CH[500705];No;;true
Edmond de Rothschild (Suisse) S.A.;RLD;134749;CH;CHF;XSWX;;BS;500.00;Swiss Reporting Standard;Bank law;24.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
EEII AG;EEII;716295;CH;CHF;XSWX;;BS;7.10;Investment Companies;IFRS;18.04.18;31.12.;BDO AG - CH[500705];No;;true
EFG International AG;EFGN;2226822;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.50;International Reporting Standard;IFRS;27.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Eli Lilly and Company;LLY;947556;US;CHF;XSWX;;RS;0.00;International Reporting Standard;;;;Ernst & Young LLP - US;No;;false
Elma Electronic AG;ELMN;531916;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;11.00;Swiss Reporting Standard;Swiss GAAP FER;26.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Emmi AG;EMMN;1282989;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;10.00;Swiss Reporting Standard;Swiss GAAP FER;12.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Ems-Chemie Holding AG;EMSN;1644035;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.01;International Reporting Standard;IFRS;11.08.18;30.04.;Ernst & Young AG - CH[500646];No;;true
Energiedienst Holding AG;EDHN;3965118;CH;CHF;XSWX;;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;23.03.18;31.12.;KPMG AG - CH[501403];No;;true
ENR Russia Invest SA;RUS;3447695;CH;CHF;XSWX;;BS;12.40;Investment Companies;IFRS;;31.12.;BDO AG - CH[500705];No;;true
